vmax_kt,min_pressure_mb,lat,lon,month,month_sin,month_cos,abs_lat,pressure_deficit,dvmax_6h,dpres_6h,target
100.0,998.0,27.4,-87.4,8.0,-0.8660254037844384,-0.5000000000000004,27.4,12.0,0.0,0.0,0.0
100.0,998.0,28.2,-87.5,8.0,-0.8660254037844384,-0.5000000000000004,28.2,12.0,0.0,0.0,0.0
100.0,998.0,27.9,-87.7,8.0,-0.8660254037844384,-0.5000000000000004,27.9,12.0,0.0,0.0,0.0
100.0,998.0,28.6,-87.8,8.0,-0.8660254037844384,-0.5000000000000004,28.6,12.0,0.0,0.0,0.0
100.0,998.0,28.3,-88.0,8.0,-0.8660254037844384,-0.5000000000000004,28.3,12.0,0.0,0.0,0.0
100.0,998.0,28.8,-88.0,8.0,-0.8660254037844384,-0.5000000000000004,28.8,12.0,0.0,0.0,0.0
100.0,998.0,28.6,-88.2,8.0,-0.8660254037844384,-0.5000000000000004,28.6,12.0,0.0,0.0,0.0
100.0,998.0,29.1,-88.2,8.0,-0.8660254037844384,-0.5000000000000004,29.1,12.0,0.0,0.0,0.0
100.0,998.0,29.0,-88.4,8.0,-0.8660254037844384,-0.5000000000000004,29.0,12.0,0.0,0.0,0.0
100.0,998.0,29.4,-88.4,8.0,-0.8660254037844384,-0.5000000000000004,29.4,12.0,0.0,0.0,0.0
100.0,998.0,29.5,-88.5,8.0,-0.8660254037844384,-0.5000000000000004,29.5,12.0,0.0,0.0,0.0
100.0,998.0,29.8,-88.6,8.0,-0.8660254037844384,-0.5000000000000004,29.8,12.0,0.0,0.0,0.0
100.0,998.0,29.9,-88.6,8.0,-0.8660254037844384,-0.5000000000000004,29.9,12.0,0.0,0.0,0.0
100.0,961.0,30.2,-88.6,8.0,-0.8660254037844384,-0.5000000000000004,30.2,49.0,0.0,0.0,0.0
95.0,998.0,30.3,-88.6,8.0,-0.8660254037844384,-0.5000000000000004,30.3,12.0,-10.0,0.0,0.0
90.0,998.0,30.6,-88.5,8.0,-0.8660254037844384,-0.5000000000000004,30.6,12.0,-10.0,0.0,0.0
80.0,998.0,30.7,-88.4,8.0,-0.8660254037844384,-0.5000000000000004,30.7,12.0,-20.0,0.0,0.0
70.0,998.0,31.2,-88.1,8.0,-0.8660254037844384,-0.5000000000000004,31.2,12.0,-20.0,0.0,0.0
60.0,998.0,31.2,-87.9,8.0,-0.8660254037844384,-0.5000000000000004,31.2,12.0,-20.0,0.0,0.0
50.0,998.0,31.8,-87.4,8.0,-0.8660254037844384,-0.5000000000000004,31.8,12.0,-20.0,0.0,0.0
45.0,998.0,31.8,-87.1,8.0,-0.8660254037844384,-0.5000000000000004,31.8,12.0,-10.0,0.0,0.0
40.0,998.0,32.3,-86.3,8.0,-0.8660254037844384,-0.5000000000000004,32.3,12.0,-10.0,0.0,0.0
40.0,998.0,32.3,-86.0,8.0,-0.8660254037844384,-0.5000000000000004,32.3,12.0,0.0,0.0,0.0
40.0,998.0,32.8,-84.8,8.0,-0.8660254037844384,-0.5000000000000004,32.8,12.0,0.0,0.0,0.0
40.0,998.0,32.8,-84.5,8.0,-0.8660254037844384,-0.5000000000000004,32.8,12.0,0.0,0.0,0.0
40.0,998.0,33.2,-82.8,8.0,-0.8660254037844384,-0.5000000000000004,33.2,12.0,0.0,0.0,0.0
40.0,998.0,33.2,-82.5,8.0,-0.8660254037844384,-0.5000000000000004,33.2,12.0,0.0,0.0,0.0
40.0,998.0,33.5,-80.5,8.0,-0.8660254037844384,-0.5000000000000004,33.5,12.0,0.0,0.0,0.0
40.0,998.0,33.6,-79.8,8.0,-0.8660254037844384,-0.5000000000000004,33.6,12.0,0.0,0.0,0.0
40.0,998.0,33.8,-78.2,8.0,-0.8660254037844384,-0.5000000000000004,33.8,12.0,0.0,0.0,0.0
40.0,998.0,33.9,-77.1,8.0,-0.8660254037844384,-0.5000000000000004,33.9,12.0,0.0,0.0,0.0
40.0,998.0,34.0,-76.0,8.0,-0.8660254037844384,-0.5000000000000004,34.0,12.0,0.0,0.0,0.0
40.0,998.0,34.2,-75.0,8.0,-0.8660254037844384,-0.5000000000000004,34.2,12.0,0.0,0.0,0.0
40.0,998.0,34.4,-74.2,8.0,-0.8660254037844384,-0.5000000000000004,34.4,12.0,0.0,0.0,0.0
45.0,998.0,34.7,-73.4,8.0,-0.8660254037844384,-0.5000000000000004,34.7,12.0,10.0,0.0,0.0
50.0,998.0,35.2,-72.8,8.0,-0.8660254037844384,-0.5000000000000004,35.2,12.0,10.0,0.0,0.0
50.0,998.0,35.7,-72.3,8.0,-0.8660254037844384,-0.5000000000000004,35.7,12.0,0.0,0.0,0.0
60.0,998.0,26.0,-92.5,6.0,1.2246467991473532e-16,-1.0,26.0,12.0,0.0,0.0,0.0
60.0,998.0,26.0,-92.8,6.0,1.2246467991473532e-16,-1.0,26.0,12.0,0.0,0.0,0.0
